Red curve_x,Red curve_y
345.5010128021,603.
345.7457885742,615.
345.9905643463,659.
346.2353401184,598.
346.4801158905,608.
346.7248916626,648.
346.9696674347,639.
347.2144432068,622.
347.4592189789,625.
347.703994751,673.
347.9487705231,672.
348.1935462952,647.
348.4383220673,654.
348.6830978394,669.
348.9278736115,635.
349.1726493835,683.
349.4174251556,712.
349.6622009277,697.
349.9069766998,669.
350.1517524719,652.
350.3965282440,679.
350.6413040161,638.
350.8860797882,670.
351.1308555603,717.
351.3756313324,668.
351.6204071045,670.
351.8651828766,653.
352.1099586487,673.
352.3547344208,728.
352.5995101929,705.
352.844285965,645.
353.0890617371,659.
353.3338375092,696.
353.5786132812,692.
353.8233890533,610.
354.0681648254,608.
354.3129405975,631.
354.5577163696,657.
354.8024921417,639.
355.0472679138,649.
355.2920436859,674.
355.5368194580,654.
355.7815952301,672.
356.0263710022,683.
356.2711467743,662.
356.5159225464,640.
356.7606983185,689.
357.0054740906,696.
357.2502498627,747.
357.4950256348,735.
357.7398014069,635.
357.984577179,625.
358.2293529510,655.
358.4741287231,664.
358.7189044952,683.
358.9636802673,700.
359.2084560394,679.
359.4532318115,705.
359.6980075836,663.
359.9427833557,657.
360.1875591278,639.
360.4323348999,664.
360.677110672,700.
360.9218864441,677.
361.1666622162,702.
361.4114379883,748.
361.6562137604,711.
361.9009895325,680.
362.1457653046,689.
362.3905410767,664.
362.6353168488,641.
362.8800926208,700.
363.1248683929,741.
363.3696441650,677.
363.6144199371,631.
363.8591957092,652.
364.1039714813,651.
364.3487472534,700.
364.5935230255,706.
364.8382987976,643.
365.0830745697,636.
365.3278503418,690.
365.5726261139,686.
365.817401886,720.
366.0621776581,719.
366.3069534302,681.
366.5517292023,671.
366.7965049744,690.
367.0412807465,685.
367.2860565186,660.
367.5308322906,675.
367.7756080627,734.
368.0203838348,736.
368.2651596069,712.
368.5099353790,707.
368.7547111511,770.
368.9994869232,1012.
369.2442626953,1718.
369.4890384674,2554.
369.7338142395,2405.
369.9785900116,1581.
370.2233657837,1199.
370.4681415558,1161.
370.7129173279,1266.
370.9576931,1434.
371.2024688721,1357.
371.4472446442,1121.
371.6920204163,979.
371.9367961884,884.
372.1815719604,915.
372.4263477325,947.
372.6711235046,818.
372.9158992767,745.
373.1606750488,762.
373.4054508209,783.
373.6502265930,759.
373.8950023651,738.
